3104531474,LoveLostHerWay,b'RT @rachel_inberg: I have received lovely messages from healthcare providers all over the country who struggle with how to approach their o\xe2\x80\xa6'
393125768,steelerspensfn,"b""RT @KittyHannahEden: Because I live in the U.S. now, I'm angry. A LOT. \xf0\x9f\x98\xa4\n\nTurns out #anger is quite useful when battling #depression... \n\nh\xe2\x80\xa6"""
2467992061,Jenn1684,b'RT @NorCalStoner420: #Depression Can Kill More Than a Person\xe2\x80\x99s Spirit... https://t.co/rjUSvJFWZr'
2928647725,aleneziahmed1,b'RT @HealthImaging: #fMRI identifies brain regions linked to #sleep and #depression @OxNeuro @FudanUniversity @warwickuni @JAMAPsych #neuroi\xe2\x80\xa6'
138408868,LIVANFU,b'RT @RethinkDep: Living with depression may change you and the way you see the world. But remember you are not defined by your depression. R\xe2\x80\xa6'
361427151,karacagurkan,b'RT @CardioBusiness: Patients with acute coronary syndrome who took #SSRIs to treat #depression had lower reoccurrences of major adverse #ca\xe2\x80\xa6'
2468633587,ChrisBOnTheWeb,b'https://t.co/ahwow1BXBd is gone its done! People decided to report it and now is blocked.... Dunno how to process h\xe2\x80\xa6 https://t.co/cAGwaXkPuQ'
102238992,CorinneZupko,"b'RT @NewWorldLibrary: Fresh on the #NWLBlog, @CorinneZupko on how to listen to your #inner #therapist - an excerpt from her helpful new book\xe2\x80\xa6'"
940727080106561537,therealkbrumby,b'@sturgill_nick Me every night of my life #Depression'
1692171,butwait,"b'RT @KittyHannahEden: From #journalism to, well, this. The deep, dark hole of #depression and attempting to climb out of it, in public. ""Can\xe2\x80\xa6'"
1002414694827610112,Sumit45385250,"b'RT @gauravsatle: Researchers examined results from depression screenings done for parents during more than 9,500 visits to pediatrics clini\xe2\x80\xa6'"
776963307378925568,KittyHannahEden,"b""Because I live in the U.S. now, I'm angry. A LOT. \xf0\x9f\x98\xa4\n\nTurns out #anger is quite useful when battling #depression... \n\nhttps://t.co/yA0WnqtEb2"""
340524159,suzannejenkins3,"b'RT @EichinChangLim: \xe2\x80\x9cCan they take control of their own lives before they hit rock bottom, and will fate once more reunite those who remain\xe2\x80\xa6'"
